requirement_id,type,module,priority,srs_section,short_text,backend_applicability,status,canonical_evidence,test_evidence,other_worktree_evidence,missing_behavior,dependency_or_blocker,governance_reference,recommended_workstream
BR-CORE-001,BR,CORE,,7.2,No implicit cross-currency arithmetic,BACKEND,COMPLETE,src/common/money/money.ts:92 (throws MoneyError on currency mismatch),src/common/money/money.spec.ts,,,,,
BR-CORE-002,BR,CORE,,7.2,"Money.allocate distributes exactly, no lost minor units",BACKEND,COMPLETE,src/common/money/money.ts:169 allocate(),src/common/money/money.spec.ts:176-213 (BR-CORE-002 suite),,,,,
BR-CORE-003,BR,CORE,,7.2,Quantities stored at 6 decimal places,BACKEND,COMPLETE,"prisma/schema.prisma quantity/consumptionQuantity/reorderQuantity/quantityReceived etc. @db.Decimal(18,6) throughout inventory",NONE (schema-level invariant; no dedicated precision-loss test found),,,,,
BR-CORE-004,BR,CORE,,7.2,"Mass<->volume conversion requires item-specific density factor, fails if absent",BACKEND,DESIGNED_ONLY,prisma/schema.prisma:3706 model UomConversion (comment explicitly cites BR-CORE-004),NONE,,"No application service reads/writes/enforces UomConversion anywhere in src/modules (grep for `UomConversion` outside generated Prisma client returns zero hits) — schema exists, no runtime conversion or fail-closed behaviour is wired up.",,,INV-UOM-CONVERSION-ENFORCEMENT
BR-FIN-001,BR,FIN,,16.7,"Percentage computations rounded exactly once, at country-pack-specified point, full precision until then",BACKEND,COMPLETE,src/common/money/rational.ts (exact rational arithmetic prior to rounding); src/modules/localisation/tax/tax.calculator.ts (single rounding point per component),src/common/money/rational.spec.ts; src/modules/localisation/tax/tax.calculator.spec.ts,,,,,
BR-FIN-002,BR,FIN,,16.7,"Default rounding mode HALF_UP, overridable per country pack",BACKEND,COMPLETE,src/common/money/money.ts:132 'Rounding defaults to HALF_UP per BR-FIN-002 and is overridable'; src/common/money/rounding.ts,src/common/money/rounding.spec.ts; src/common/money/money.spec.ts,,,,,
BR-FIN-003,BR,FIN,,16.7,"Order-level discount distributed across lines for tax purposes via Money.allocate, sum exactly equals original",BACKEND,NOT_IMPLEMENTED,"src/common/money/money.ts:169 allocate() exists as a generic primitive and is used elsewhere, but src/modules/sales/orders/discounts.service.ts (header comment) states verbatim: order-level discount tax apportionment (BR-FIN-003) 'is NOT implemented in this codebase'; order-level discount is applied POST-TAX as a straight subtraction from grandTotal only.",NONE,,"The Money.allocate primitive exists, but it is not invoked to apportion an order-level discount across line taxable bases; this is an explicitly recorded scoping decision, not an oversight, per the source comment.",,,FIN-discount-tax-apportionment
BR-FIN-004,BR,FIN,,16.7,"Cash rounding to nearest 5/25 minor units recorded as a distinct rounding_adjustment, never absorbed into revenue/tax",BACKEND,COMPLETE,"prisma Order.roundingAdjustment field; src/modules/sales/receipt.views.ts:114 cashRoundingAdjustment; src/modules/sales/contract/daily-trading-sales.query.ts (Σ rounding_adjustment tracked separately, tagged FR-POS-063/BR-FIN-004); prisma DayClose.cashRoundingAdjustmentTotalMinor",not independently confirmed in this pass,,,,,
BR-FIN-005,BR,FIN,,16.7,"Client and server produce byte-identical monetary results; verified by shared conformance suite, divergence release-blocking",SHARED_BACKEND_AND_CLIENT,PARTIAL,"src/modules/localisation/tax/conformance.runner.ts + conformance.spec.ts (shared conformance corpus, pure deterministic functions with no ambient state, designed per its own header comment to be 'replayed... later, by the Dart client')",src/modules/localisation/tax/conformance.spec.ts,,Backend half (deterministic pure tax/rounding functions plus a conformance corpus) exists and is tested; this audit cannot verify from backend code alone whether the Dart/client side actually replays the same corpus and is byte-identical in practice - that verification is client-side and out of this audit's scope.,Requires client-side conformance-suite execution to fully verify (SHARED_BACKEND_AND_CLIENT).,,
BR-INV-001,BR,INV,,7.4.3,"Stock movements are append-only, no update/delete; reversals are new opposite-sign movements",BACKEND,COMPLETE,prisma/schema.prisma:StockMovement (no update/delete privilege for ros_app role); src/modules/inventory/movements/movements.service.ts,test/inventory.e2e-spec.ts:308 (append-only ledger),,,,,
