priority,workstream,slice_id,slice_name,requirement_ids,owner,lane,current_status,dependency,can_start_now,schema_change,migration,estimated_collision_risk,size,parallelizability,pilot_blocker,production_blocker,full_srs_blocker,merge_wave,acceptance_test,notes
1,P1-PERF,A1-1,Inventory movement write-path: exact-decimal + atomic projection (repair MovementsService.post),BR-INV-003; BR-CORE-003; FR-INV-030; FR-INV-020..025; FR-BRN-020,BACKEND,A,PARTIAL — read-then-absolute-write with no lock; float quantities,none (this is the root of Lane A/E),YES,NO,NO,HIGH (inventory core; blocks P8/P10/P13),M,LOW,YES,YES,YES,1,"New concurrency e2e: two simultaneous MovementsService.post calls on one (item,location) leave stock_levels == fold(stock_movements); exact-decimal equality at 6dp over 10k movements",Uses the atomic ON CONFLICT DO UPDATE ... RETURNING pattern already proven in SaleDepletionService.writeAllocation
1,P1-PERF,A1-2,"NFR-PERF-006 remediation: lock grouping by distinct (stockItemId, locationId)",NFR-PERF-006,BACKEND,A,PARTIAL — measured p95=568.73ms vs <=200ms,A1-1,YES,NO,NO,HIGH,S,LOW,YES,NO,YES,1,"Re-run test/order-completion-performance.e2e-spec.ts on an isolated scratch DB, >=20 iterations; report p50/p95",Saves ~173 of ~1050 statements — NOT sufficient alone; see A1-3
1,P1-PERF,A1-3,NFR-PERF-006 second layer: set-oriented allocation writes with window-function balance_after,NFR-PERF-006; BR-INV-003,BACKEND,A,NOT IMPLEMENTED,"A1-1, A1-2, design gate",NO — design gate required,NO,NO,HIGH,L,LOW,YES,NO,YES,1,p95 <= 200 ms on the 30-line nested-recipe fixture AND every stock_movements.balance_after equals the running fold in deterministic order,Contradicts the P1F2E-A mandated per-allocation three-sequential-statement discipline; requires an explicit design gate before implementation
1,P1-PERF,A1-4,Inventory concurrency test matrix completion,BR-INV-003; FR-INV-012; FR-INV-013; CT-08,BACKEND,A,PARTIAL — 2 of 5 named scenarios built,A1-1,YES,NO,NO,MEDIUM,M,MEDIUM,YES,YES,YES,1,"Real-barrier races for: transfer vs sale, count-post vs sale, waste vs sale, two receipts, deadlock-inversion probe",
1,P2-SEC,B1-1,GOVERNANCE GATE: reopen D-2 for branch-scoped RBAC,FR-SEC-002; FR-SEC-003; FR-SEC-004; FR-API-012,GOVERNANCE/SPEC,B,BLOCKED — D-2 CORE ONLY ratified 2026-08-17 and still in force,user governance action,NO,n/a,n/a,LOW,XS,LOW,YES,YES,YES,1,A ratified register entry authorising role-assignment scope,Nothing in B1-2/B1-3 may start before this
1,P2-SEC,B1-2,Role assignment scope + permitted-branch claim in the access token,FR-SEC-002; FR-SEC-003; FR-SEC-004; FR-SEC-005; FR-API-012,BACKEND,B,NOT IMPLEMENTED,B1-1,NO,YES,YES,HIGH (identity.membership_roles; every controller),L,LOW,YES,YES,YES,1,"A user scoped to Branch 1 receives 404/403 on every Branch 2 route across sales, inventory, treasury, kitchen and reporting",
1,P2-SEC,B1-3,Branch authorization enforcement at every business route,FR-SEC-002; FR-SEC-045; FR-PLT-013,BACKEND,B,NOT IMPLEMENTED — assertBranchInScope checks tenant visibility only,B1-2,NO,NO,NO,HIGH (touches all 14 controllers),L,LOW,YES,YES,YES,1,Extend the RLS/isolation suites to cross-BRANCH as well as cross-tenant attempts,Retrofit cost grows with every route added by P6/P9/P10/P11
1,P5-OFF1,D1-1,DESIGN GATE: offline/sync protocol (server half),CR-01; FR-OFF-010..013; FR-OFF-020..023; FR-OFF-030..039,SHARED,D,NOT IMPLEMENTED — sync schema contains only idempotency_keys,none,YES,n/a,n/a,LOW,L,MEDIUM,NO,YES,YES,1,"A ratified protocol spec: local IDs, HLC, oplog shape, batch envelope, ack semantics, retry/idempotency, conflict classes",Client half is FRONTEND-EXTERNAL; the backend must publish the contract before the client team can build against it
1,P3-PROD,G1-1,CI pipeline from zero (no .github exists),FR-OPS-001; FR-OPS-002; FR-PLT-013; FR-PLT-014; NFR-MAINT-004; NFR-MAINT-005; FR-SEC-049; FR-QA-002,INFRA/DEVOPS,G,NOT IMPLEMENTED,none,YES,NO,NO,LOW,M,HIGH,YES,YES,YES,1,A pipeline that runs unit + e2e + module-boundaries + prisma validate + openapi:check + RLS coverage assertion and fails the build on each,
1,P3-PROD,G1-2,Deterministic e2e harness: per-suite ephemeral database,FR-QA-001; FR-QA-010; NFR-MAINT-008; CT-05,BACKEND,G,PARTIAL — all suites share one DATABASE_URL; parallel workers corrupt shared assumptions,none,YES,NO,NO,"MEDIUM (test/setup-e2e.ts, jest-e2e.json)",M,HIGH,YES,YES,YES,1,Full e2e suite green three consecutive times with parallel workers on fresh databases,organisation.e2e-spec.ts whole-database invariant currently fails under cross-suite fixture accumulation
