requirement_id,type,priority,domain,chapter,section,page,short_substance,owner,implementation_status,verification_status,production_readiness,pilot_blocking,production_blocking,full_srs_blocking,repo_evidence,test_evidence,evidence_basis,governance_dependency,design_dependency,runtime_dependency,external_dependency,workstream,recommended_lane,merge_wave,can_start_now,blocking_reason,schema_change_expected,migration_expected,notes,delta_from_p0,delta_reason
BR-CORE-001,BR,,Business Rules — Shared Kernel,7,7.2,40,Arithmetic between different currencies SHALL raise an error. There is no implicit conversion.,BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,common/money: Money/Rational with currency-mismatch error and exact allocate,"src/common/money/*.spec.ts (unit, green this session)",DIRECT,,,,,P8-COST,E,2,YES,,NO,NO,,UNCHANGED,
BR-CORE-002,BR,,Business Rules — Shared Kernel,7,7.2,40,"allocate SHALL distribute an amount across ratios such that the sum of the results exactly equals the input, distributing remainder minor units to the largest ratios first.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,common/money: Money/Rational with currency-mismatch error and exact allocate,"src/common/money/*.spec.ts (unit, green this session)",DIRECT,,,,,P8-COST,E,2,YES,,NO,NO,,UNCHANGED,
BR-CORE-003,BR,,Business Rules — Shared Kernel,7,7.2,41,Quantities SHALL be stored with 6 decimal places of precision.,BACKEND,PARTIAL,PARTIALLY VERIFIED,NOT READY,YES,YES,YES,"NUMERIC(_,6) columns honour 6dp, and SaleDepletionService uses exact Rational; BUT MovementsService.post converts to IEEE-754 double (PostMovementInput.quantity: number, Number(level.quantityOnHand), currentQty + input.quantity) on the transfer/count/waste/adjustment path",costing.spec.ts; NOT covered by any float-precision test,DIRECT,,,,,P8-COST,E,2,YES,,MAYBE,MAYBE,,UNCHANGED,
BR-CORE-004,BR,,Business Rules — Shared Kernel,7,7.2,41,Conversion between units of different dimensions (mass ↔ volume) SHALL require an item-specific density factor and SHALL fail if none is configured for that item.,BACKEND,PARTIAL,PARTIALLY VERIFIED,NOT READY,NO,NO,YES,UomConversion + dimension guard exist; density factor for mass<->volume not modelled,production/recipe-cost.spec.ts,MODULE,,,,,P8-COST,E,2,YES,,MAYBE,MAYBE,,UNCHANGED,
BR-FIN-001,BR,,Business Rules — Finance,16,16.7,98,"Percentage computations (tax, discount, service charge) SHALL be performed at full decimal precision and rounded exactly once, at the point specified by the country pack.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no implementing module, model or route was found for this requirement",none,DOMAIN,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
BR-FIN-002,BR,,Business Rules — Finance,16,16.7,98,"The default rounding mode is HALF_UP (round half away from zero), overridable per country pack.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no implementing module, model or route was found for this requirement",none,DOMAIN,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
BR-FIN-003,BR,,Business Rules — Finance,16,16.7,98,"Where a discount is applied to an order and must be distributed across lines for tax purposes, distribution SHALL use Money.allocate so that the sum of distributed amounts exactly equals the original discount.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no implementing module, model or route was found for this requirement",none,DOMAIN,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
BR-FIN-004,BR,,Business Rules — Finance,16,16.7,99,"Cash rounding (to the nearest 5 or 25 minor units where the jurisdiction has withdrawn small denominations) SHALL be applied only to the cash portion of a payment and SHALL be recorded as a distinct rounding_adjustment, never absorbed into revenue or tax.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no implementing module, model or route was found for this requirement",none,DOMAIN,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
BR-FIN-005,BR,,Business Rules — Finance,16,16.7,99,The client and server SHALL produce byte-identical monetary results for the same inputs. This is verified by the shared conformance suite in 21.9 and any divergence is a release-blocking defect.,BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no implementing module, model or route was found for this requirement",none,DOMAIN,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
BR-INV-001,BR,,Business Rules — Inventory,7,7.4,49,StockMovement records SHALL be append-only. No UPDATE or DELETE is permitted. Reversals are new movements with opposite sign referencing the original.,BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,ros_app has SELECT+INSERT only on inventory.stock_movements; UPDATE/DELETE revoked,test/inventory.e2e-spec.ts,DIRECT,,,,,P1-PERF,A,1,YES,,NO,NO,,UNCHANGED,
BR-INV-002,BR,,Business Rules — Inventory,7,7.4,50,"For every transfer_out there SHALL be exactly one transfer_in with equal absolute quantity, linked by counterpart_movement_id. In-transit stock is visible as the interval between the two.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,transfers.service pairs transfer_out/transfer_in with counterpart set at INSERT time,test/inventory.e2e-spec.ts,DIRECT,,,,,P1-PERF,A,1,YES,,NO,NO,,UNCHANGED,
BR-INV-003,BR,,Business Rules — Inventory,7,7.4,50,"The sum of all movements for an (item, location) pair SHALL equal the stock_levels projection for that pair. A reconciliation job SHALL verify this daily and raise an alert on any divergence.",BACKEND,PARTIAL,PARTIALLY VERIFIED,NOT READY,YES,YES,YES,completion path is atomic and truthful (ON CONFLICT DO UPDATE ... RETURNING derives balance_after). MovementsService.post (transfers/counts/waste/adjustments) still does read-then-absolute-write with NO lock on stock_levels -> lost update. No daily reconciliation job exists (GET /inventory/reconciliation is on-demand only).,test/order-completion-concurrency.e2e-spec.ts covers completion only; NO concurrency test exists for MovementsService.post,DIRECT,,P1F2E-A controlling design (per-allocation 3-statement discipline),scheduler/job runner,,P1-PERF,A,1,YES,,MAYBE,MAYBE,,UNCHANGED,
BR-MNU-001,BR,,Business Rules — Menu,7,7.4,51,"A recipe SHALL NOT reference itself, directly or transitively, through sub- recipes. Cycle detection SHALL run on save and reject the change with the offending path displayed.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no implementing module, model or route was found for this requirement",none,DOMAIN,,,,,P6-POS,C,2,YES,,NO,NO,,UNCHANGED,
BR-MNU-002,BR,,Business Rules — Menu,7,7.4,51,Publishing a new recipe version SHALL NOT alter the cost or consumption of previously completed orders. Historical orders reference recipe_version_id.,BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no implementing module, model or route was found for this requirement",none,DOMAIN,,,,,P6-POS,C,2,YES,,NO,NO,,UNCHANGED,
BR-MNU-003,BR,,Business Rules — Menu,7,7.4,51,Recipe cost SHALL be computed as: cost(recipe) = Σ over lines of: quantity_in_base_unit × (1 + wastage_percentage / 100) × cost_per_base_unit(component) ÷ (yield_percentage / 100),BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no implementing module, model or route was found for this requirement",none,DOMAIN,,,,,P6-POS,C,2,YES,,NO,NO,,UNCHANGED,
BR-MNU-012,BR,,Business Rules — Menu,10,10.6,69,"An item MAY be sold with an incomplete or absent recipe. The System SHALL permit the sale, SHALL record zero or partial cost, and SHALL list the item in a “recipes requiring completion” report.",BACKEND,PARTIAL,PARTIALLY VERIFIED,NOT READY,NO,NO,YES,recipe-completeness.service.ts flags incomplete recipes without blocking,test/recipe-completeness.e2e-spec.ts,MODULE,,,,,P6-POS,C,2,YES,,MAYBE,MAYBE,,UNCHANGED,
BR-PLT-001,BR,,Business Rules — Platform,6,6.1,36,"Inventory is held at a location (branch, warehouse, or central kitchen), never at brand or tenant level. Two brands operating from the same physical kitchen must be modelled as two branches sharing a warehouse, not as one location with two brands.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,"inventory is keyed by (stock_item_id, location_id); org.locations registry covers branch/warehouse/CK",test/inventory.e2e-spec.ts; organisation.e2e-spec.ts,DIRECT,,,,,P4-PLT,B,2,YES,,NO,NO,,UNCHANGED,
BR-POS-001,BR,,Business Rules — POS,7,7.4,47,An Order in state COMPLETED SHALL NOT be modified. Corrections are made by creating a Refund referencing it.,BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,order-state.ts forbids mutation of COMPLETED,src/modules/sales/orders/order-state.spec.ts; test/order-completion.e2e-spec.ts,DIRECT,,,,,P6-POS,C,2,YES,,NO,NO,,UNCHANGED,
BR-POS-002,BR,,Business Rules — POS,7,7.4,47,An Order SHALL NOT transition to COMPLETED while paid_total + discount_total_of_comps < grand_total.,BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,settling-completion branch in sales-payment.service.ts requires full settlement,test/order-completion.e2e-spec.ts,DIRECT,,,,,P6-POS,C,2,YES,,NO,NO,,UNCHANGED,
BR-POS-003,BR,,Business Rules — POS,7,7.4,47,"An Order SHALL NOT transition to CANCELLED if any line has been fired to the kitchen and bumped, unless a user with the order.cancel_after_production permission approves and a reason is recorded.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,order-state.ts blocks CANCELLED once any line is fired,order-state.spec.ts; test/sales-fire.e2e-spec.ts,DIRECT,,,,,P6-POS,C,2,YES,,NO,NO,,UNCHANGED,
BR-POS-004,BR,,Business Rules — POS,7,7.4,48,"item_name_snapshot, unit_price, tax_class_id, unit_cost_snapshot, and recipe_version_id SHALL be captured at the time of sale and SHALL NOT be recomputed from current master data.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,order_lines snapshot columns + order_line_recipe_versions/modifier_effects pinning,test/order-completion-pinning.e2e-spec.ts,DIRECT,,,,,P6-POS,C,2,YES,,NO,NO,,UNCHANGED,
CR-01,CR,M,Project Constraints,1,1.9,10,The POS application MUST | Technical operate for a minimum of 72 hours without server,SHARED,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no offline capability of any kind; sync schema contains only idempotency_keys,none,DIRECT,,,,,P20-CLOSE,G,FINAL,YES,,NO,NO,,UNCHANGED,
CR-02,CR,M,Project Constraints,1,1.9,11,"Arabic and English MUST be | Product first-class languages with full RTL/LTR layout support, not translations.",SHARED,PARTIAL,PARTIALLY VERIFIED,NOT READY,NO,NO,YES,JSONB name/label maps carry ar/en throughout catalogue; RTL layout is client-owned,test/catalogue.e2e-spec.ts,MODULE,,,,,P20-CLOSE,G,FINAL,YES,,MAYBE,MAYBE,,UNCHANGED,
CR-03,CR,M,Project Constraints,1,1.9,11,Country-specific tax logic | Architectural MUST NOT be compiled into core application code.,GOVERNANCE/SPEC,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,localisation/country-pack + tax-engine.registry; signed pack documents; zero hard-coded country tax logic,test/catalogue.e2e-spec.ts; country-pack.*.spec.ts; tax/conformance.spec.ts,DIRECT,,,,,P20-CLOSE,G,FINAL,YES,,NO,NO,,UNCHANGED,
CR-04,CR,M,Project Constraints,1,1.9,11,"Financial records, once | Regulatory posted, MUST be immutable. Corrections are made by compensating entries.",GOVERNANCE/SPEC,PARTIAL,PARTIALLY VERIFIED,NOT READY,NO,YES,YES,audit_entries and stock_movements are append-only by grant; orders immutable once COMPLETED. No compensating-entry mechanism (no refunds/adjustments) exists yet.,test/audit.e2e-spec.ts; order-completion.e2e-spec.ts,DIRECT,,,,,P20-CLOSE,G,FINAL,YES,,MAYBE,MAYBE,,UNCHANGED,
CR-05,CR,M,Project Constraints,1,1.9,11,"The System MUST NOT store, | Security process, or transmit primary account numbers (PAN) of payment cards.",GOVERNANCE/SPEC,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,no PAN/CVV/track storage anywhere; tenders limited to cash and manual_external_card,test/sales-payment.e2e-spec.ts,DIRECT,,,,,P20-CLOSE,G,FINAL,YES,,NO,NO,,UNCHANGED,
CR-06,CR,M,Project Constraints,1,1.9,11,Phase 1 engineering team is | Organisational capped at 9 engineers.,GOVERNANCE/SPEC,OUT OF SCOPE,NOT YET VERIFIABLE,NOT APPLICABLE,NO,NO,NO,organisational constraint on team size; not a software requirement,none,DIRECT,,,,,P20-CLOSE,G,FINAL,YES,,NO,NO,,UNCHANGED,
CR-07,CR,M,Project Constraints,1,1.9,11,The POS UI MUST be | Hardware operable on a 10-inch touchscreen at 1280×800 without horizontal scrolling.,FRONTEND-EXTERNAL,NOT IMPLEMENTED,NOT YET VERIFIABLE,NOT APPLICABLE,NO,NO,YES,client UI constraint; no client in this repository,none,DOMAIN,,,,,P20-CLOSE,G,FINAL,NO,Frontend/client implementation is externally owned; backend obligation only,NO,NO,,UNCHANGED,
CR-08,CR,M,Project Constraints,1,1.9,11,"Audit records MUST be | Regulatory retained for a minimum of 7 years or the jurisdiction’s statutory period, whichever is longer.",GOVERNANCE/SPEC,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,YES,YES,no retention enforcement for audit_entries (see FR-AUD-009),none,DIRECT,,,,,P20-CLOSE,G,FINAL,YES,,NO,NO,,UNCHANGED,
CT-01,CT,M,Critical Test Scenarios,28,28.3,157,"72-hour full offline | Zero loss, zero duplication, operation, 500 orders, then | fiscal sequence intact sync",SHARED,NOT IMPLEMENTED,NOT YET VERIFIABLE,NOT READY,NO,NO,YES,"A server-side offline sync protocol now exists (POST /v1/sync/batch: causal scheduling, dedup/idempotency, crash-recoverable batch reservation, 2 real domain handlers) — the prior baseline's ""no offline capability"" is no longer accurate. However no POS/KDS CLIENT exists in this repository to generate an offline capture queue, so the full 72-hour/500-order/fiscal-sequence-intact end-to-end scenario remains unreachable.","sync-crash-recovery.e2e-spec.ts, sync-idempotency.e2e-spec.ts (server-side durability/dedup only) — part of the green targeted Sync run this session",DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,NO,NO,Scenario requires an end-to-end client+server proof at 72-hour/500-order scale; only the server-side substrate exists and only at much smaller tested batch sizes.,CHANGED,"Status held at NOT IMPLEMENTED (no client, no 72-hour/500-order/fiscal-sequence proof exists) but repo_evidence corrected — D4-1A/D4-1B built real server-side offline substrate since the prior baseline, which predates them entirely."
CT-02,CT,M,Critical Test Scenarios,28,28.3,157,Network partition mid- | No double charge; last- payment on integrated | transaction query resolves terminal | correctly,SHARED,NOT IMPLEMENTED,NOT YET VERIFIABLE,NOT READY,NO,NO,YES,no integrated payment terminal; no last-transaction query,none,DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,NO,NO,,UNCHANGED,
CT-03,CT,M,Critical Test Scenarios,28,28.3,157,Concurrent order edits on | Converges per CRDT rules; no one table from two terminals | line lost,SHARED,NOT IMPLEMENTED,NOT YET VERIFIABLE,NOT READY,NO,NO,YES,"D4-1B's own acceptance correction explicitly removed the offline kds.ticket.recall handler because it did not implement the ratified LWW-by-HLC-per-field conflict-resolution semantics this scenario requires, and there is no persisted HLC watermark to support it; sync.module.ts confirmed at HEAD 7ba8a71 to register no recall/CRDT-convergence handler.","none — the handler that would exercise this was deregistered, not merely unproven",DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,NO,NO,"Order-line-level concurrent-edit convergence still relies only on single-server optimistic version CAS, not a CRDT/LWW-by-HLC-per-field merge across two offline terminals. This is a HARD-CAPPED item per the P0-REBASE-2 task instruction: do not mark recall/HLC-conflict-resolution requirements complete.",CHANGED,"Status unchanged (NOT IMPLEMENTED) but repo_evidence corrected: the prior baseline's ""no CRDT/convergence machinery"" was written before D4-1B existed. D4-1B built and then explicitly deregistered exactly this capability (recall handler) because it did not meet the ratified LWW-by-HLC-per-field bar — a more precise, current-HEAD-evidenced reason for the same NOT IMPLEMENTED status, per this rebase's hard rule against marking recall/HLC requirements complete."
CT-04,CT,M,Critical Test Scenarios,28,28.3,157,Power loss during payment | Order recoverable; no partial write | state,SHARED,NOT IMPLEMENTED,NOT YET VERIFIABLE,NOT READY,NO,NO,YES,no local durable write path; power-loss recovery is untestable,none,DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,NO,NO,,UNCHANGED,
CT-05,CT,M,Critical Test Scenarios,28,28.3,157,Cross-tenant access attempt | All attempts return zero rows on every table,SHARED,PARTIAL,UNVERIFIED,NOT READY,YES,YES,YES,"cross-tenant isolation suites exist and pass for the implemented modules, but NOT ""on every table"" and NOT generated from the schema",test/rls.e2e-spec.ts + 5 module RLS suites,DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,MAYBE,MAYBE,,UNCHANGED,
CT-06,CT,M,Critical Test Scenarios,28,28.3,157,Client/server conformance | Byte-identical results on corpus | every case,SHARED,NOT IMPLEMENTED,NOT YET VERIFIABLE,NOT READY,NO,NO,YES,kitchen-kit/conformance/ exists for tax only; no client runtime and no client/server conformance corpus,tax/conformance.spec.ts (server-side only),DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,NO,NO,,UNCHANGED,
